tanggal,arena_id,view,quote,reply,participant,posting,expression,polling,bookmark,survey,quis,score
2017-08-31 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-08-31 12:00:00,35,0,0,0,1,3,0,0,0,0,0,4
2017-08-31 18:00:00,35,0,0,0,1,1,0,0,0,0,0,2
2017-09-01 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-01 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-01 12:00:00,35,0,0,0,1,1,0,0,0,0,0,2
2017-09-02 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-02 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-03 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-03 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-04 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-04 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-04 18:00:00,29,0,0,0,3,3,0,0,0,0,0,6
2017-09-04 18:00:00,35,0,0,0,1,1,0,0,0,0,0,2
2017-09-05 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-05 06:00:00,23,0,0,0,1,12,0,0,0,0,0,13
2017-09-05 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-06 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-06 06:00:00,12,0,0,0,1,1,0,0,0,0,0,2
2017-09-06 12:00:00,12,0,0,0,1,1,0,0,0,0,0,2
2017-09-06 12:00:00,18,0,0,0,1,1,0,0,0,0,0,2
2017-09-06 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-07 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-07 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-08 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-08 12:00:00,29,0,0,0,2,3,0,0,0,0,0,5
2017-09-09 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-09 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-10 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-10 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-11 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-11 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-12 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-12 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-13 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-13 00:00:00,42,0,0,0,1,1,0,0,0,0,0,2
2017-09-13 06:00:00,44,0,0,0,1,1,0,0,0,0,0,2
2017-09-13 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-14 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-14 12:00:00,29,0,0,0,2,2,0,0,0,0,0,4
2017-09-15 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-15 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-15 12:00:00,45,0,0,0,2,3,0,0,0,0,0,5
2017-09-15 18:00:00,45,0,0,0,2,20,0,0,0,0,0,22
2017-09-16 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-16 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-17 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-17 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-18 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-18 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-19 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-19 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-20 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-20 12:00:00,29,0,1,0,2,3,0,0,0,0,0,6
2017-09-20 18:00:00,29,0,0,0,1,2,1,0,0,0,0,4
2017-09-21 00:00:00,14,0,0,0,1,2,0,0,0,0,0,3
2017-09-21 00:00:00,29,0,0,0,1,2,0,0,0,0,0,3
2017-09-21 00:00:00,35,0,0,0,1,1,0,0,0,0,0,2
2017-09-21 00:00:00,45,0,0,0,1,2,0,0,0,0,0,3
2017-09-21 12:00:00,29,0,0,0,1,13,0,0,0,0,0,14
2017-09-22 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-22 12:00:00,12,0,0,0,1,1,2,0,0,0,0,4
2017-09-22 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-23 00:00:00,29,0,0,0,1,2,0,0,0,0,0,3
2017-09-23 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-24 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-24 12:00:00,14,0,0,0,1,1,0,0,0,0,0,2
2017-09-24 12:00:00,29,0,0,0,2,2,1,0,0,0,0,5
2017-09-25 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-25 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-26 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-26 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-27 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-27 00:00:00,45,0,0,0,1,1,0,0,0,0,0,2
2017-09-27 12:00:00,17,0,0,0,1,1,0,0,0,0,0,2
2017-09-27 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-28 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-28 06:00:00,14,0,0,0,1,1,0,0,0,0,0,2
2017-09-28 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-29 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-29 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-30 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-09-30 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-01 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-01 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-02 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
